capitalized,word_shape,contains_digit,prefixes,suffixes,POS,prev_word,prev_POS,next_word,next_POS,dep_tag,head_text,is_chunk,in_league,in_club,in_home,in_player,in_coach,in_nation,in_continent,token,NER
1,Xxxxxxxx,0,"['F', 'Fo', 'Foo', 'Foot']","['l', 'll', 'all', 'ball']",NOUN,,,transfer,NOUN,compound,transfer,O,0,0,0,0,0,0,0,Football,O
0,xxxxxxxx,0,"['t', 'tr', 'tra', 'tran']","['r', 'er', 'fer', 'sfer']",NOUN,Football,NOUN,rumours,VERB,nsubj,rumours,O,0,0,0,0,0,0,0,transfer,O
0,xxxxxxx,0,"['r', 'ru', 'rum', 'rumo']","['s', 'rs', 'urs', 'ours']",VERB,transfer,NOUN,:,PUNCT,ROOT,rumours,O,0,0,0,0,0,0,0,rumours,O
0,:,0,[],[],PUNCT,rumours,VERB,Why,SCONJ,punct,rumours,O,0,0,0,0,0,0,0,:,O
1,Xxx,0,"['W', 'Wh']","['y', 'hy']",SCONJ,:,PUNCT,Maguire,PROPN,advmod,collapsed,O,0,0,0,0,0,0,0,Why,O
1,Xxxxxxx,0,"['M', 'Ma', 'Mag', 'Magu']","['e', 're', 'ire', 'uire']",PROPN,Why,SCONJ,'s,PART,poss,exit,O,0,0,0,1,0,0,0,Maguire,B-Player
0,'x,0,"[""'""]",['s'],PART,Maguire,PROPN,Man,PROPN,case,Maguire,O,0,0,0,0,0,0,0,'s,O
1,Xxx,0,"['M', 'Ma']","['n', 'an']",PROPN,'s,PART,Utd,PROPN,compound,Utd,O,0,0,0,0,0,0,0,Man,B-Club
1,Xxx,0,"['U', 'Ut']","['d', 'td']",PROPN,Man,PROPN,exit,NOUN,compound,exit,O,0,0,0,0,0,0,0,Utd,I-Club
0,xxxx,0,"['e', 'ex', 'exi']","['t', 'it', 'xit']",NOUN,Utd,PROPN,collapsed,VERB,nsubj,collapsed,O,0,0,0,0,0,0,0,exit,O
0,xxxxxxxxx,0,"['c', 'co', 'col', 'coll']","['d', 'ed', 'sed', 'psed']",VERB,exit,NOUN,;,PUNCT,ccomp,rumours,O,0,0,0,0,0,0,0,collapsed,O
0,;,0,[],[],PUNCT,collapsed,VERB,Liverpool,PROPN,punct,collapsed,O,0,0,0,0,0,0,0,;,O
1,Xxxxxxxxx,0,"['L', 'Li', 'Liv', 'Live']","['l', 'ol', 'ool', 'pool']",PROPN,;,PUNCT,'s,PART,poss,targets,B,0,1,0,0,0,0,0,Liverpool,B-Club
0,'x,0,"[""'""]",['s'],PART,Liverpool,PROPN,six,NUM,case,Liverpool,O,0,0,0,0,0,0,0,'s,O
0,xxx,0,"['s', 'si']","['x', 'ix']",NUM,'s,PART,midfielder,NOUN,nummod,targets,B,0,0,0,0,0,0,0,six,O
0,xxxxxxxxxx,0,"['m', 'mi', 'mid', 'midf']","['r', 'er', 'der', 'lder']",NOUN,six,NUM,targets,NOUN,compound,targets,O,0,0,0,0,0,0,0,midfielder,O
0,xxxxxxx,0,"['t', 'ta', 'tar', 'targ']","['s', 'ts', 'ets', 'gets']",NOUN,midfielder,NOUN,,,dobj,rumours,O,0,0,0,0,0,0,0,targets,O
1,Xxxxxxx,0,"['C', 'Ch', 'Che', 'Chel']","['a', 'ea', 'sea', 'lsea']",PROPN,,,agree,VERB,nsubj,agree,B,0,1,0,0,0,0,0,Chelsea,B-Club
0,xxxxx,0,"['a', 'ag', 'agr', 'agre']","['e', 'ee', 'ree', 'gree']",VERB,Chelsea,PROPN,Romeo,PROPN,ROOT,agree,O,0,0,0,0,0,0,0,agree,O
